Organization,Month_Year,Count,Unique,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),Old Issues (Open for >120 days),Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor),Views count,Views unique,Clones count,Clones unique
usdot-fhwa-OPS,2022-08,0.0,0.0,146.0,28.0,72.0,234.0,196.0,38.0,78.0,76.0,60.0,116.0,594.0,514.0,80.0,68.0,12.0,54.0,24.0,30.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
usdot-fhwa-OPS,2022-09,0.0,0.0,154.0,28.0,78.0,248.0,206.0,42.0,86.0,76.0,58.0,122.0,592.0,524.0,84.0,76.0,12.0,54.0,22.0,32.0,14.0,10.0,4.0,6.0,14.0,10.0,4.0,0.0,0.0,6.0,6.0,2.0,4.0,0.0,1730.0,237.0,103.0,76.0
usdot-fhwa-OPS,2022-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.0,243.0,64.0,48.0
usdot-fhwa-OPS,2022-11,0.0,0.0,170.0,28.0,86.0,258.0,214.0,44.0,90.0,84.0,70.0,120.0,614.0,532.0,86.0,80.0,12.0,56.0,24.0,32.0,6.0,4.0,2.0,6.0,6.0,4.0,2.0,0.0,0.0,6.0,6.0,4.0,2.0,0.0,855.0,158.0,99.0,39.0
usdot-fhwa-OPS,2022-12,0.0,0.0,172.0,28.0,88.0,270.0,224.0,46.0,78.0,66.0,68.0,136.0,648.0,542.0,88.0,68.0,12.0,60.0,28.0,32.0,12.0,10.0,2.0,24.0,12.0,10.0,2.0,0.0,0.0,24.0,6.0,4.0,2.0,0.0,1567.0,157.0,186.0,45.0
usdot-fhwa-OPS,2023-01,0.0,0.0,176.0,26.0,86.0,274.0,226.0,48.0,50.0,42.0,48.0,202.0,674.0,544.0,90.0,42.0,12.0,62.0,28.0,34.0,4.0,2.0,2.0,24.0,4.0,2.0,2.0,0.0,0.0,24.0,4.0,2.0,2.0,0.0,2612.0,293.0,627.0,141.0
usdot-fhwa-OPS,2023-02,0.0,0.0,180.0,26.0,90.0,276.0,228.0,48.0,40.0,36.0,40.0,220.0,690.0,546.0,90.0,32.0,12.0,62.0,28.0,34.0,2.0,2.0,0.0,20.0,2.0,2.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,2448.0,312.0,3331.0,131.0
usdot-fhwa-OPS,2023-03,0.0,0.0,186.0,24.0,92.0,298.0,246.0,52.0,58.0,42.0,38.0,234.0,706.0,564.0,94.0,52.0,12.0,64.0,28.0,36.0,20.0,16.0,4.0,4.0,20.0,16.0,4.0,0.0,0.0,2.0,10.0,6.0,4.0,0.0,2702.0,379.0,1005.0,181.0
usdot-fhwa-OPS,2023-04,1335.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,328.0,1354.0,222.0
usdot-fhwa-OPS,2023-05,984.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591.0,358.0,980.0,193.0
usdot-fhwa-OPS,2023-06,817.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.0,305.0,533.0,133.0
