Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-OPS,V2X-Hub,2023-01-18,10,3
usdot-fhwa-OPS,V2X-Hub,2023-01-19,59,6
usdot-fhwa-OPS,V2X-Hub,2023-01-20,38,8
usdot-fhwa-OPS,V2X-Hub,2023-01-22,5,4
usdot-fhwa-OPS,V2X-Hub,2023-01-23,15,6
usdot-fhwa-OPS,V2X-Hub,2023-01-24,2729,6
usdot-fhwa-OPS,V2X-Hub,2023-01-25,29,3
usdot-fhwa-OPS,V2X-Hub,2023-01-26,69,8
usdot-fhwa-OPS,V2X-Hub,2023-01-27,32,7
usdot-fhwa-OPS,V2X-Hub,2023-01-28,4,1
usdot-fhwa-OPS,V2X-Hub,2023-01-29,2,2
usdot-fhwa-OPS,V2X-Hub,2023-01-30,9,5
usdot-fhwa-OPS,V2X-Hub,2023-01-31,35,8
usdot-fhwa-OPS,V2X-Hub,2023-02-01,3,1
