Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,autoware.auto,2022-10-18,6,2
usdot-fhwa-stol,carma-base,2022-10-18,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2022-10-18,1,1
usdot-fhwa-stol,carma-config,2022-10-18,1,1
usdot-fhwa-stol,carma-delphi-esr-driver,2022-10-18,1,1
usdot-fhwa-stol,carma-delphi-srr2-driver,2022-10-18,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2022-10-18,1,1
usdot-fhwa-stol,carma-lightbar-driver,2022-10-18,1,1
usdot-fhwa-stol,carma-messenger,2022-10-18,29,6
usdot-fhwa-stol,carma-msgs,2022-10-18,25,7
usdot-fhwa-stol,carma-platform,2022-10-18,6,5
usdot-fhwa-stol,carma-simulation,2022-10-18,2,2
usdot-fhwa-stol,carma-ssc-interface-wrapper,2022-10-18,7,4
usdot-fhwa-stol,carma-streets,2022-10-18,17,8
usdot-fhwa-stol,carma-utils,2022-10-18,30,8
usdot-fhwa-stol,carma-vehicle-model-framework,2022-10-18,1,1
usdot-fhwa-stol,carma-velodyne-lidar-driver,2022-10-18,2,2
usdot-fhwa-stol,carma-web-ui,2022-10-18,2,2
usdot-fhwa-stol,devops,2022-10-18,8,3
usdot-fhwa-stol,documentation,2022-10-18,2,2
usdot-fhwa-stol,dwm1001_ros2,2022-10-18,1,1
usdot-fhwa-stol,autoware.auto,2022-10-19,10,2
usdot-fhwa-stol,carma-base,2022-10-19,6,5
usdot-fhwa-stol,carma-cloud,2022-10-19,5,4
usdot-fhwa-stol,carma-cohda-dsrc-driver,2022-10-19,3,3
usdot-fhwa-stol,carma-config,2022-10-19,2,2
usdot-fhwa-stol,carma-delphi-esr-driver,2022-10-19,3,3
usdot-fhwa-stol,carma-delphi-srr2-driver,2022-10-19,3,3
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2022-10-19,3,3
usdot-fhwa-stol,carma-lightbar-driver,2022-10-19,4,4
usdot-fhwa-stol,carma-messenger,2022-10-19,67,18
usdot-fhwa-stol,carma-msgs,2022-10-19,90,20
usdot-fhwa-stol,carma-platform,2022-10-19,64,9
usdot-fhwa-stol,carma-simulation,2022-10-19,4,4
