Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,asn1_codec,2023-08-01,6,2
usdot-jpo-ode,jpo-cvdp,2023-08-01,6,2
usdot-jpo-ode,jpo-geojsonconverter,2023-08-01,9,5
usdot-jpo-ode,jpo-ode,2023-08-01,5,3
usdot-jpo-ode,jpo-s3-deposit,2023-08-01,6,2
usdot-jpo-ode,jpo-sdw-depositor,2023-08-01,6,2
usdot-jpo-ode,jpo-security-svcs,2023-08-01,6,2
usdot-jpo-ode,ode-output-validator-library,2023-08-01,6,2
usdot-jpo-ode,scms-asn1,2023-08-01,6,2
usdot-jpo-ode,jpo-conflictmonitor,2023-08-02,3,2
usdot-jpo-ode,jpo-cvmanager,2023-08-02,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-08-02,1,1
usdot-jpo-ode,jpo-ode,2023-08-02,1,1
usdot-jpo-ode,jpo-security-svcs,2023-08-02,1,1
usdot-jpo-ode,asn1_codec,2023-08-03,18,1
usdot-jpo-ode,jpo-conflictmonitor,2023-08-03,39,8
usdot-jpo-ode,jpo-cvdp,2023-08-03,18,1
usdot-jpo-ode,jpo-geojsonconverter,2023-08-03,6,1
usdot-jpo-ode,jpo-ode,2023-08-03,7,2
usdot-jpo-ode,jpo-s3-deposit,2023-08-03,18,1
usdot-jpo-ode,jpo-sdw-depositor,2023-08-03,18,1
usdot-jpo-ode,jpo-security-svcs,2023-08-03,18,1
usdot-jpo-ode,ode-output-validator-library,2023-08-03,19,2
usdot-jpo-ode,scms-asn1,2023-08-03,69,25
usdot-jpo-ode,wzdx,2023-08-03,2,2
usdot-jpo-ode,jpo-conflictmonitor,2023-08-04,1,1
usdot-jpo-ode,jpo-ode,2023-08-04,2,2
usdot-jpo-ode,wzdx,2023-08-04,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-08-05,1,1
usdot-jpo-ode,jpo-ode,2023-08-05,1,1
usdot-jpo-ode,jpo-s3-deposit,2023-08-05,1,1
usdot-jpo-ode,jpo-security,2023-08-05,1,1
usdot-jpo-ode,jpo-tim-builder,2023-08-05,2,2
usdot-jpo-ode,ode-output-validator-library,2023-08-05,3,3
usdot-jpo-ode,wzdx,2023-08-05,1,1
usdot-jpo-ode,TDx,2023-08-06,1,1
usdot-jpo-ode,asn1_codec,2023-08-06,3,2
usdot-jpo-ode,jpo-conflictmonitor,2023-08-06,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-08-06,1,1
usdot-jpo-ode,jpo-cvdp,2023-08-06,5,4
usdot-jpo-ode,jpo-cvmanager,2023-08-06,2,2
usdot-jpo-ode,jpo-geojsonconverter,2023-08-06,1,1
usdot-jpo-ode,jpo-ode,2023-08-06,5,4
usdot-jpo-ode,jpo-record-parser,2023-08-06,1,1
usdot-jpo-ode,jpo-s3-deposit,2023-08-06,3,2
usdot-jpo-ode,jpo-sdw-depositor,2023-08-06,4,3
usdot-jpo-ode,jpo-security-svcs,2023-08-06,4,3
usdot-jpo-ode,jpo-tim-builder,2023-08-06,3,2
usdot-jpo-ode,ode-output-validator-library,2023-08-06,4,3
usdot-jpo-ode,scms-asn1,2023-08-06,3,2
usdot-jpo-ode,usdot-jpo-ode.github.io,2023-08-06,1,1
usdot-jpo-ode,wzdc-tool,2023-08-06,1,1
usdot-jpo-ode,wzdx,2023-08-06,2,2
usdot-jpo-ode,asn1_codec,2023-08-07,7,5
usdot-jpo-ode,jpo-conflictmonitor,2023-08-07,3,2
usdot-jpo-ode,jpo-cvdp,2023-08-07,5,5
usdot-jpo-ode,jpo-cvmanager,2023-08-07,2,1
usdot-jpo-ode,jpo-geojsonconverter,2023-08-07,1,1
usdot-jpo-ode,jpo-ode,2023-08-07,5,5
usdot-jpo-ode,jpo-s3-deposit,2023-08-07,2,2
usdot-jpo-ode,jpo-security,2023-08-07,1,1
usdot-jpo-ode,jpo-tim-builder,2023-08-07,2,1
usdot-jpo-ode,wzdx,2023-08-07,1,1
usdot-jpo-ode,TDx,2023-08-08,1,1
usdot-jpo-ode,asn1_codec,2023-08-08,4,4
usdot-jpo-ode,jpo-conflictmonitor,2023-08-08,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-08-08,3,2
usdot-jpo-ode,jpo-cvdp,2023-08-08,6,5
usdot-jpo-ode,jpo-cvmanager,2023-08-08,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-08-08,1,1
usdot-jpo-ode,jpo-ode,2023-08-08,11,10
usdot-jpo-ode,jpo-s3-deposit,2023-08-08,7,5
usdot-jpo-ode,jpo-sdw-depositor,2023-08-08,5,5
usdot-jpo-ode,jpo-security,2023-08-08,2,1
usdot-jpo-ode,jpo-security-svcs,2023-08-08,3,3
usdot-jpo-ode,ode-output-validator-library,2023-08-08,3,3
usdot-jpo-ode,scms-asn1,2023-08-08,9,9
usdot-jpo-ode,usdot-jpo-ode.github.io,2023-08-08,1,1
usdot-jpo-ode,wzdx,2023-08-08,1,1
usdot-jpo-ode,TDx,2023-08-09,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-08-09,6,6
usdot-jpo-ode,jpo-conflictvisualizer,2023-08-09,1,1
usdot-jpo-ode,jpo-cvdp,2023-08-09,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-08-09,1,1
usdot-jpo-ode,jpo-ode,2023-08-09,7,6
usdot-jpo-ode,jpo-record-parser,2023-08-09,1,1
usdot-jpo-ode,jpo-security,2023-08-09,1,1
usdot-jpo-ode,jpo-security-svcs,2023-08-09,1,1
usdot-jpo-ode,asn1_codec,2023-08-10,3,1
usdot-jpo-ode,jpo-conflictmonitor,2023-08-10,18,8
usdot-jpo-ode,jpo-cvdp,2023-08-10,5,3
usdot-jpo-ode,jpo-geojsonconverter,2023-08-10,3,1
usdot-jpo-ode,jpo-ode,2023-08-10,8,4
usdot-jpo-ode,jpo-s3-deposit,2023-08-10,3,1
usdot-jpo-ode,jpo-sdw-depositor,2023-08-10,3,1
usdot-jpo-ode,jpo-security-svcs,2023-08-10,3,1
usdot-jpo-ode,ode-output-validator-library,2023-08-10,3,1
usdot-jpo-ode,scms-asn1,2023-08-10,3,1
usdot-jpo-ode,wzdx,2023-08-10,1,1
usdot-jpo-ode,asn1_codec,2023-08-11,4,3
usdot-jpo-ode,jpo-conflictmonitor,2023-08-11,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-08-11,1,1
usdot-jpo-ode,jpo-cvdp,2023-08-11,2,2
usdot-jpo-ode,jpo-ode,2023-08-11,1,1
usdot-jpo-ode,jpo-security-svcs,2023-08-11,1,1
usdot-jpo-ode,jpo-tim-builder,2023-08-11,2,1
usdot-jpo-ode,asn1_codec,2023-08-12,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-08-12,2,1
usdot-jpo-ode,jpo-ode,2023-08-12,2,2
usdot-jpo-ode,jpo-ode,2023-08-13,1,1
usdot-jpo-ode,ode-output-validator-library,2023-08-13,2,1
usdot-jpo-ode,TDx,2023-08-14,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-08-14,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-08-14,1,1
usdot-jpo-ode,jpo-ode,2023-08-14,3,3
usdot-jpo-ode,jpo-geojsonconverter,2023-08-15,1,1
