count,org,repo,week,additions,deletions,commits,author,is a member
1,usdot-fhwa-OPS,V2X-Hub,2023-07-02,69,4,1,gainesaw,no
1,usdot-fhwa-OPS,V2X-Hub,2023-04-09,107,25,1,MishkaMN,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-02-20,74,58,1,ajloughr-leidos,yes
1,usdot-fhwa-OPS,V2X-Hub,2021-01-03,45,55,1,afrye51,no
1,usdot-fhwa-OPS,V2X-Hub,2019-05-19,3,1,1,MatthewJMcAllister,no
1,usdot-fhwa-OPS,V2X-Hub,2023-08-27,661,1,1,willjohnsonk,no
1,usdot-fhwa-OPS,V2X-Hub,2023-09-10,728,21,1,willjohnsonk,no
1,usdot-fhwa-OPS,V2X-Hub,2022-11-27,1,1,1,saina-ramyar,no
1,usdot-fhwa-OPS,V2X-Hub,2023-04-09,128,10,1,saina-ramyar,no
1,usdot-fhwa-OPS,V2X-Hub,2022-10-30,4,2,1,oschwartz10612,no
1,usdot-fhwa-OPS,V2X-Hub,2022-12-25,8,3,1,oschwartz10612,no
1,usdot-fhwa-OPS,V2X-Hub,2022-03-27,1,1,1,dependabot[bot],no
1,usdot-fhwa-OPS,V2X-Hub,2022-06-19,1,1,1,dependabot[bot],no
1,usdot-fhwa-OPS,V2X-Hub,2022-10-30,16,16,3,jwilliammartin,no
1,usdot-fhwa-OPS,V2X-Hub,2022-05-08,737,88,1,abey-yoseph,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-05-15,46,30,2,abey-yoseph,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-06-05,9,9,1,abey-yoseph,yes
1,usdot-fhwa-OPS,V2X-Hub,2019-03-17,17,9,2,darrelld05,no
1,usdot-fhwa-OPS,V2X-Hub,2019-03-31,2,2,1,darrelld05,no
1,usdot-fhwa-OPS,V2X-Hub,2019-04-21,4,6,2,darrelld05,no
1,usdot-fhwa-OPS,V2X-Hub,2019-03-31,31,0,1,atgreenwood,yes
1,usdot-fhwa-OPS,V2X-Hub,2019-04-07,137,103,5,atgreenwood,yes
1,usdot-fhwa-OPS,V2X-Hub,2019-04-14,5,5,1,atgreenwood,yes
1,usdot-fhwa-OPS,V2X-Hub,2019-04-21,6,5,3,atgreenwood,yes
1,usdot-fhwa-OPS,V2X-Hub,2019-04-28,16,0,1,atgreenwood,yes
1,usdot-fhwa-OPS,V2X-Hub,2019-08-04,2,2,2,atgreenwood,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-10-30,12,12,1,jwillmartin,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-11-06,28,28,1,jwillmartin,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-11-20,27,27,1,jwillmartin,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-12-11,163,818,1,jwillmartin,yes
1,usdot-fhwa-OPS,V2X-Hub,2022-12-25,1039,1035,1,jwillmartin,yes
1,usdot-fhwa-OPS,V2X-Hub,2023-01-15,90,14,1,jwillmartin,yes
1,usdot-fhwa-OPS,V2X-Hub,2023-01-22,3,3,2,jwillmartin,yes
