count,org,repo,week,additions,deletions,commits,author,is a member
1,usdot-jpo-ode,jpo-ode,2023-03-26,63,2,1,SaikrishnaBairamoni,yes
1,usdot-jpo-ode,jpo-ode,2021-01-03,1,4,1,danrasband,no
1,usdot-jpo-ode,jpo-ode,2017-10-15,2,2,1,southernsun,no
1,usdot-jpo-ode,jpo-ode,2016-12-04,1,1,1,ToryB1,no
1,usdot-jpo-ode,jpo-ode,2016-11-27,2,0,1,lauraGgit,no
1,usdot-jpo-ode,jpo-ode,2020-11-01,31,66,2,abey-yoseph,yes
1,usdot-jpo-ode,jpo-ode,2020-10-11,1,1,1,dependabot[bot],no
1,usdot-jpo-ode,jpo-ode,2022-06-26,1,1,1,dependabot[bot],no
1,usdot-jpo-ode,jpo-ode,2023-01-08,1,1,1,dependabot[bot],no
1,usdot-jpo-ode,jpo-ode,2020-12-27,0,0,3,TonyEnglish,yes
1,usdot-jpo-ode,jpo-ode,2019-05-12,3,3,1,alexsobledotgov,no
1,usdot-jpo-ode,jpo-ode,2019-05-19,10,27,2,alexsobledotgov,no
1,usdot-jpo-ode,jpo-ode,2019-09-08,2,0,1,snallamothu,yes
1,usdot-jpo-ode,jpo-ode,2020-03-22,252,57,1,snallamothu,yes
1,usdot-jpo-ode,jpo-ode,2020-03-29,6,27,2,snallamothu,yes
1,usdot-jpo-ode,jpo-ode,2021-03-28,1,2,1,snallamothu,yes
1,usdot-jpo-ode,jpo-ode,2022-11-20,333,36,3,iyourshaw,no
1,usdot-jpo-ode,jpo-ode,2022-12-11,305,16,2,iyourshaw,no
1,usdot-jpo-ode,jpo-ode,2022-12-18,6619,6452,1,iyourshaw,no
1,usdot-jpo-ode,jpo-ode,2020-12-20,206,105,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2020-12-27,92,108,6,drewjj,no
1,usdot-jpo-ode,jpo-ode,2021-02-14,217,24,5,drewjj,no
1,usdot-jpo-ode,jpo-ode,2021-02-21,48,5,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2021-04-04,13,0,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2021-09-05,152,3,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2021-09-12,15,5,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2021-09-26,3,1,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-01-09,3,11,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-02-27,40,1,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-03-13,6048,0,3,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-10-23,1,1,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-11-13,3563,3189,2,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-12-04,7,30,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-12-11,24,1,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2022-12-18,6266,6212,4,drewjj,no
1,usdot-jpo-ode,jpo-ode,2023-01-08,26,18,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2023-02-26,39,2,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2023-03-05,13,0,1,drewjj,no
1,usdot-jpo-ode,jpo-ode,2020-05-24,207,120,26,jtbaird,no
1,usdot-jpo-ode,jpo-ode,2020-06-07,81,78,9,jtbaird,no
1,usdot-jpo-ode,jpo-ode,2020-09-20,2,1,2,jtbaird,no
1,usdot-jpo-ode,jpo-ode,2020-09-27,3,3,3,jtbaird,no
1,usdot-jpo-ode,jpo-ode,2020-10-04,1,1,1,jtbaird,no
1,usdot-jpo-ode,jpo-ode,2021-06-06,4,4,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-01-09,1,1,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-01-23,1,1,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-03-27,178,50,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-04-03,12,5,13,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-04-10,127,24,11,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-04-17,13,30346,2,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-07-10,11,4,2,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-07-17,3,0,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-08-28,3,0,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-09-18,5,5,3,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2022-09-25,1,1,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2023-01-15,10,219,1,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2023-01-29,2214,10,2,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2023-02-19,19,26,2,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2023-02-26,306,2351,4,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2023-03-05,61,61,5,dmccoystephenson,no
1,usdot-jpo-ode,jpo-ode,2020-05-17,31,23,1,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-06-21,53,13,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-06-28,3,3,3,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-08-09,58,16,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-08-16,98,18,1,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-08-23,5,3,3,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-09-13,1,1,1,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-11-08,287,272,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-12-13,182,12,9,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2020-12-27,45,1,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-01-10,11,14,3,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-01-17,2,38,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-02-14,120,38,7,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-02-21,622,343,6,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-02-28,2,1,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-03-07,6,6,2,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-03-21,1294,61,3,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-03-28,159,107,4,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-04-18,405,227,1,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-05-30,3588,525,4,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-06-06,65,73,4,dan-du-car,yes
1,usdot-jpo-ode,jpo-ode,2021-06-27,2,2,1,dan-du-car,yes
