Start date,End date,Org,Repo,Referrer,Count,Unique
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-App,github.com,3,2
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,github.com,1,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,github.com,7,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,Google,174,28
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,github.com,160,9
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,statics.gov.teams.microsoft.us,63,3
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,fhwa.dot.gov,29,2
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,its.dot.gov,10,6
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,powerpoint.gov.online.office365.us,7,4
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,chatgpt.com,5,2
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,Bing,3,3
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,search.brave.com,3,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,V2X-Hub,highways.dot.gov,1,1
2024-08-26,2024-09-09,usdot-fhwa-OPS,v2xhub-angular-ui-prototype,github.com,1,1
