Start date,End date,Org,Repo,Referrer,Count,Unique
2024-08-31,2024-09-14,usdot-fhwa-stol,.github,github.com,11,1
2024-08-31,2024-09-14,usdot-fhwa-stol,.github,statics.gov.teams.microsoft.us,4,1
2024-08-31,2024-09-14,usdot-fhwa-stol,actions,github.com,8,1
2024-08-31,2024-09-14,usdot-fhwa-stol,ads-traffic-regs,ops.fhwa.dot.gov,25,1
2024-08-31,2024-09-14,usdot-fhwa-stol,autoware.auto,github.com,16,2
2024-08-31,2024-09-14,usdot-fhwa-stol,autoware.auto,Google,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,autoware.auto,usdot-carma.atlassian.net,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t-tools,github.com,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t2x-emulator,github.com,59,2
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t2x-emulator,statics.gov.teams.microsoft.us,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_bringup,github.com,43,5
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_bringup,usdot-carma.atlassian.net,4,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_bringup,Google,3,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_bringup,statics.gov.teams.microsoft.us,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_bringup,excel.gov.online.office365.us,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_razor_imu_m0_driver,github.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,c1t_vesc_driver,github.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carla-sensor-lib,github.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-1-tenth,github.com,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-analytics-fotda,github.com,60,9
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-analytics-fotda,Google,10,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-analytics-fotda,statics.gov.teams.microsoft.us,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-analytics-fotda,Bing,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-analytics-fotda,usdot-carma.atlassian.net,1,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-base,github.com,13,2
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-carla-integration,Google,6,2
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-cloud,github.com,91,9
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-cloud,Google,78,3
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-cloud,statics.gov.teams.microsoft.us,11,2
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-cohda-dsrc-driver,github.com,12,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-cohda-dsrc-driver,answers.ros.org,6,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-config,github.com,54,8
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-config,Google,39,5
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-config,statics.gov.teams.microsoft.us,10,3
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-delphi-esr-driver,Google,71,3
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-delphi-srr2-driver,github.com,2,1
2024-08-31,2024-09-14,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,Google,6,1
