Start date,End date,Org,Repo,Referrer,Count,Unique
2022-09-16,2022-09-30,usdot-jpo-ode,asn1_codec,github.com,40,6
2022-09-16,2022-09-30,usdot-jpo-ode,asn1_codec,Google,19,7
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-cvdp,github.com,13,3
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-cvdp,statics.teams.cdn.office.net,4,2
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-cvdp,Google,4,2
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-cvdp,nist.gov,2,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-geojsonconverter,github.com,20,5
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-geojsonconverter,Google,9,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,github.com,50,7
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,Google,44,15
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,dev.azure.com,18,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,usdot-oss4its.atlassian.net,8,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,Bing,5,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,DuckDuckGo,3,2
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,transportation.gov,1,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,docs.google.com,1,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-ode,linkedin.com,1,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-s3-deposit,github.com,1,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-sdw-depositor,github.com,2,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-security,Google,17,1
2022-09-16,2022-09-30,usdot-jpo-ode,jpo-security-svcs,Google,5,1
2022-09-16,2022-09-30,usdot-jpo-ode,scms-asn1,Google,7,6
2022-09-16,2022-09-30,usdot-jpo-ode,scms-asn1,its.dot.gov,1,1
2022-09-16,2022-09-30,usdot-jpo-ode,TDx,github.com,45,8
2022-09-16,2022-09-30,usdot-jpo-ode,TDx,statics.teams.cdn.office.net,5,4
2022-09-16,2022-09-30,usdot-jpo-ode,wzdc-tool,github.com,1,1
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,Google,150,31
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,transportation.gov,137,51
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,Bing,61,7
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,github.com,56,17
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,fhwa.dot.gov,39,13
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,DuckDuckGo,17,2
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,datahub.transportation.gov,7,6
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,statics.teams.cdn.office.net,7,4
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,in.search.yahoo.com,7,2
2022-09-16,2022-09-30,usdot-jpo-ode,wzdx,jira.datasys.swri.edu,6,5
