Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2023-04-01,13,1
usdot-fhwa-OPS,V2X-Hub,2023-04-02,16,1
usdot-fhwa-OPS,V2X-Hub,2023-04-03,83,9
usdot-fhwa-OPS,V2X-Hub,2023-04-04,114,17
usdot-fhwa-OPS,V2X-Hub,2023-04-05,184,22
usdot-fhwa-OPS,V2X-Hub,2023-04-06,139,15
usdot-fhwa-OPS,V2X-Hub,2023-04-07,272,17
usdot-fhwa-OPS,V2X-Hub,2023-04-08,10,5
usdot-fhwa-OPS,V2X-Hub,2023-04-09,8,2
usdot-fhwa-OPS,V2X-Hub,2023-04-10,171,20
usdot-fhwa-OPS,V2X-Hub,2023-04-11,195,17
usdot-fhwa-OPS,V2X-Hub,2023-04-12,88,15
usdot-fhwa-OPS,V2X-Hub,2023-04-13,83,13
usdot-fhwa-OPS,V2X-Hub,2023-04-14,42,17
usdot-fhwa-OPS,V2X-Hub,2023-04-15,2,2
