Org,Repo,Date,Views count,Views unique
usdot-fhwa-stol,WxDE,2023-12-01,10,1
usdot-fhwa-stol,autoware.auto,2023-12-01,2,1
usdot-fhwa-stol,carma-analytics-fotda,2023-12-01,19,2
usdot-fhwa-stol,carma-carla-integration,2023-12-01,10,2
usdot-fhwa-stol,carma-cloud,2023-12-01,5,1
usdot-fhwa-stol,carma-config,2023-12-01,5,2
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-01,1,1
usdot-fhwa-stol,carma-messenger,2023-12-01,1,1
usdot-fhwa-stol,carma-msgs,2023-12-01,7,1
usdot-fhwa-stol,carma-platform,2023-12-01,193,17
usdot-fhwa-stol,carma-streets,2023-12-01,27,4
usdot-fhwa-stol,carma-utils,2023-12-01,85,3
usdot-fhwa-stol,cav-education,2023-12-01,8,4
usdot-fhwa-stol,cda-telematics,2023-12-01,10,2
usdot-fhwa-stol,cdasim,2023-12-01,103,8
usdot-fhwa-stol,multiple_object_tracking,2023-12-01,28,2
usdot-fhwa-stol,ns-3_c-v2x,2023-12-01,6,1
usdot-fhwa-stol,voices-poc,2023-12-01,2,1
usdot-fhwa-stol,carma-1-tenth,2023-12-02,19,1
usdot-fhwa-stol,carma-analytics-fotda,2023-12-02,3,1
usdot-fhwa-stol,carma-carla-integration,2023-12-02,6,1
usdot-fhwa-stol,carma-delphi-esr-driver,2023-12-02,1,1
usdot-fhwa-stol,carma-platform,2023-12-02,36,5
usdot-fhwa-stol,carma-utils,2023-12-02,13,3
usdot-fhwa-stol,cav-education,2023-12-02,24,1
usdot-fhwa-stol,carma-carla-integration,2023-12-03,4,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2023-12-03,5,2
usdot-fhwa-stol,carma-platform,2023-12-03,2,2
usdot-fhwa-stol,carma-streets,2023-12-03,8,2
usdot-fhwa-stol,cdasim,2023-12-03,1,1
usdot-fhwa-stol,multiple_object_tracking,2023-12-03,18,1
usdot-fhwa-stol,carma-1-tenth,2023-12-04,1,1
usdot-fhwa-stol,carma-analytics-fotda,2023-12-04,3,1
usdot-fhwa-stol,carma-base,2023-12-04,1,1
