Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,TDx,2023-05-18,6,2
usdot-jpo-ode,asn1_codec,2023-05-18,3,1
usdot-jpo-ode,jpo-conflictmonitor,2023-05-18,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-18,1,1
usdot-jpo-ode,jpo-ode,2023-05-18,1,1
usdot-jpo-ode,jpo-s3-deposit,2023-05-18,1,1
usdot-jpo-ode,wzdx,2023-05-18,140,14
usdot-jpo-ode,TDx,2023-05-19,56,3
usdot-jpo-ode,asn1_codec,2023-05-19,7,1
usdot-jpo-ode,jpo-conflictmonitor,2023-05-19,2,1
usdot-jpo-ode,jpo-cvdp,2023-05-19,2,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-19,41,1
usdot-jpo-ode,jpo-ode,2023-05-19,2,2
usdot-jpo-ode,wzdx,2023-05-19,129,18
usdot-jpo-ode,TDx,2023-05-20,2,1
usdot-jpo-ode,jpo-cvdp,2023-05-20,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-20,1,1
usdot-jpo-ode,wzdx,2023-05-20,7,4
usdot-jpo-ode,wzdx,2023-05-21,2,1
usdot-jpo-ode,TDx,2023-05-22,14,5
usdot-jpo-ode,asn1_codec,2023-05-22,7,5
usdot-jpo-ode,jpo-conflictvisualizer,2023-05-22,16,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-22,38,2
usdot-jpo-ode,jpo-ode,2023-05-22,17,7
usdot-jpo-ode,ode-output-validator-library,2023-05-22,5,1
usdot-jpo-ode,scms-asn1,2023-05-22,2,1
usdot-jpo-ode,wzdx,2023-05-22,124,21
usdot-jpo-ode,TDx,2023-05-23,3,3
usdot-jpo-ode,asn1_codec,2023-05-23,3,2
usdot-jpo-ode,jpo-conflictmonitor,2023-05-23,13,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-05-23,17,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-23,21,2
usdot-jpo-ode,jpo-ode,2023-05-23,10,4
usdot-jpo-ode,jpo-tim-builder,2023-05-23,1,1
usdot-jpo-ode,scms-asn1,2023-05-23,1,1
usdot-jpo-ode,wzdx,2023-05-23,202,26
usdot-jpo-ode,TDx,2023-05-24,12,4
usdot-jpo-ode,asn1_codec,2023-05-24,3,2
usdot-jpo-ode,jpo-conflictmonitor,2023-05-24,5,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-24,2,2
usdot-jpo-ode,jpo-ode,2023-05-24,6,6
usdot-jpo-ode,scms-asn1,2023-05-24,8,1
usdot-jpo-ode,wzdc-tool,2023-05-24,2,1
usdot-jpo-ode,wzdx,2023-05-24,173,25
usdot-jpo-ode,TDx,2023-05-25,34,9
usdot-jpo-ode,asn1_codec,2023-05-25,1,1
usdot-jpo-ode,jpo-conflictmonitor,2023-05-25,18,2
usdot-jpo-ode,jpo-geojsonconverter,2023-05-25,1,1
usdot-jpo-ode,jpo-ode,2023-05-25,6,2
usdot-jpo-ode,wzdx,2023-05-25,243,20
usdot-jpo-ode,TDx,2023-05-26,14,2
usdot-jpo-ode,asn1_codec,2023-05-26,4,2
usdot-jpo-ode,jpo-conflictmonitor,2023-05-26,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-05-26,1,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-26,15,3
usdot-jpo-ode,jpo-ode,2023-05-26,13,3
usdot-jpo-ode,jpo-ode-scms-asn,2023-05-26,2,1
usdot-jpo-ode,scms-asn1,2023-05-26,3,2
usdot-jpo-ode,wzdx,2023-05-26,107,16
usdot-jpo-ode,wzdx,2023-05-27,1,1
usdot-jpo-ode,wzdx,2023-05-28,3,1
usdot-jpo-ode,TDx,2023-05-29,2,1
usdot-jpo-ode,wzdx,2023-05-29,16,7
usdot-jpo-ode,TDx,2023-05-30,6,4
usdot-jpo-ode,asn1_codec,2023-05-30,3,3
usdot-jpo-ode,jpo-conflictmonitor,2023-05-30,3,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-05-30,4,1
usdot-jpo-ode,jpo-geojsonconverter,2023-05-30,2,1
usdot-jpo-ode,jpo-ode,2023-05-30,20,4
usdot-jpo-ode,wzdx,2023-05-30,215,18
usdot-jpo-ode,TDx,2023-05-31,3,2
usdot-jpo-ode,jpo-conflictmonitor,2023-05-31,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-05-31,14,2
usdot-jpo-ode,jpo-ode,2023-05-31,1,1
usdot-jpo-ode,wzdx,2023-05-31,74,15
usdot-jpo-ode,jpo-ode,2023-06-01,11,1
