date,org,repo,forks,stars,commits,collaborators
2022-08-05,usdot-fhwa-stol,WxDE,0,0,231,5
2022-08-05,usdot-fhwa-stol,carma-cloud,12,18,226,7
2022-08-05,usdot-fhwa-stol,carma-platform,103,317,7020,36
2022-08-05,usdot-fhwa-stol,CARMAConcept,0,2,8,3
2022-08-05,usdot-fhwa-stol,carma-msgs,7,5,1184,28
2022-08-05,usdot-fhwa-stol,carma-utils,4,2,856,26
2022-08-05,usdot-fhwa-stol,carma-torc-pinpoint-driver,0,0,645,17
2022-08-05,usdot-fhwa-stol,carma-torc-xgv-controller-driver,0,1,185,11
2022-08-05,usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,0,0,638,12
2022-08-05,usdot-fhwa-stol,carma-freightliner-2012-controller-driver,0,0,193,10
2022-08-05,usdot-fhwa-stol,carma-cohda-dsrc-driver,5,6,726,25
2022-08-05,usdot-fhwa-stol,carma-web-ui,3,4,1299,24
2022-08-05,usdot-fhwa-stol,carma-delphi-esr-driver,3,3,554,19
2022-08-05,usdot-fhwa-stol,carma-delphi-srr2-driver,1,0,132,12
2022-08-05,usdot-fhwa-stol,carma-vehicle-model-framework,2,4,135,14
2022-08-05,usdot-fhwa-stol,carma-velodyne-lidar-driver,2,0,210,18
2022-08-05,usdot-fhwa-stol,carma-ssc-interface-wrapper,4,0,340,20
2022-08-05,usdot-fhwa-stol,carma-base,6,1,258,21
2022-08-05,usdot-fhwa-stol,carma-config,7,2,487,24
2022-08-05,usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2,0,145,14
2022-08-05,usdot-fhwa-stol,carma-messenger,8,12,475,22
2022-08-05,usdot-fhwa-stol,carma-1-tenth,6,11,8,3
2022-08-05,usdot-fhwa-stol,carma-lightbar-driver,0,1,124,13
2022-08-05,usdot-fhwa-stol,carma-rtk,0,0,1,1
2022-08-05,usdot-fhwa-stol,carma-simulation,7,10,265,11
2022-08-05,usdot-fhwa-stol,ads-traffic-regs,0,1,1,1
2022-08-05,usdot-fhwa-stol,cav-education,4,0,117,5
2022-08-05,usdot-fhwa-stol,carma-analytics-fotda,2,0,66,2
2022-08-05,usdot-fhwa-stol,carma-validation,1,0,52,3
2022-08-05,usdot-fhwa-stol,carma-streets,7,3,233,9
2022-08-05,usdot-fhwa-stol,c1t_vesc_driver,0,0,1,1
2022-08-05,usdot-fhwa-stol,c1t_razor_imu_m0_driver,0,0,1,1
2022-08-05,usdot-fhwa-stol,c1t_rplidar_driver,0,0,1,1
2022-08-05,usdot-fhwa-stol,c1t_zed_driver,0,0,1,1
2022-08-05,usdot-fhwa-stol,carma-mobileye-driver,0,0,1,1
2022-08-05,usdot-fhwa-stol,autoware.auto,0,1,1469,56
2022-08-05,usdot-fhwa-stol,tim-bc,0,0,98,5
2022-08-05,usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,0,1,28,7
2022-08-05,usdot-fhwa-stol,voices-cda-use-case-scenario-database,0,0,2,2
2022-08-05,usdot-fhwa-stol,voices-poc,1,0,56,6
2022-08-05,usdot-fhwa-stol,testing-training-tools,0,0,1,1
2022-08-05,usdot-fhwa-stol,carma-carla-integration,0,0,88,3
2022-08-05,usdot-fhwa-stol,github_metrics,2,0,247,6
