Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
CARMAConcept,2,10,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WxDE,0,16,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,15,7,2,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ads-traffic-regs,2,15,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arena_camera_ros,0,1,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.ai,5,8,12,1,1,0,1,1,100%,0,0%,N/A,N/A,250,72,129,2,3,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.auto,2,8,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,20,11,9,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avt_vimba_camera,3,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,98,43,55,0,6,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_razor_imu_m0_driver,0,7,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_rplidar_driver,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_vesc_driver,0,7,0,2,2,0,0,0,N/A,0,N/A,0%,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_zed_driver,0,7,0,1,1,0,0,0,N/A,0,N/A,0%,3,0,0,0,0,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,2,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-1-tenth,13,13,6,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,2,16,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,17,16,1,1,4,9,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carma-base,1,16,6,8,6,2,0,0,N/A,0,N/A,38%,9,167,52,115,3,2,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-cadillac-srx-2013-controller-driver,0,10,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,24,6,18,0,1,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-carla-integration,2,13,2,18,16,2,9,8,89%,7,78%,67%,29,49,40,9,2,7,11,9,2,3,3,0,0,4,12,12,0,0,11,1,4,4,0,0
carma-cloud,20,13,13,13,12,1,7,7,100%,7,100%,0%,35,43,37,6,1,9,11,7,4,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
carma-cohda-dsrc-driver,11,10,10,4,1,3,1,1,100%,1,100%,0%,271,109,49,60,0,4,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-config,2,15,10,8,7,1,2,2,100%,1,50%,17%,4,287,93,111,3,3,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-esr-driver,4,10,3,2,0,2,1,1,100%,1,100%,0%,2,59,37,22,0,3,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-srr2-driver,0,10,1,1,0,1,0,0,N/A,0,N/A,0%,2,63,34,29,2,3,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-freightliner-2012-controller-driver,0,10,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,19,4,15,0,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,1,10,3,1,0,1,0,0,N/A,0,N/A,0%,0,80,36,44,0,5,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-lightbar-driver,1,11,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,70,41,29,0,4,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
